,id,url,text,rating,time_created,user
0,J60w4K5hiTN_kUuyHVBgnA,https://www.yelp.com/biz/wing-city-garland-4?adjust_creative=B8j027bDjc5SxIllQxqAow&hrid=J60w4K5hiTN_kUuyHVBgnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=B8j027bDjc5SxIllQxqAow,I hate to be bias but these just might be the BEST wings I've had since I moved to Dallas. But the craziest thing is it's not just the wings. The...,5,2023-03-23 13:48:32,"{'id': 'FKTnX0DVqdrFGQchvbij6A', 'profile_url': 'https://www.yelp.com/user_details?userid=FKTnX0DVqdrFGQchvbij6A', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/TIix9qyeeTL4AMhsl8SuKg/o.jpg', 'name': 'Calieel M.'}"
1,-UeDQ36NtKC2jPale_VBTg,https://www.yelp.com/biz/wing-city-garland-4?adjust_creative=B8j027bDjc5SxIllQxqAow&hrid=-UeDQ36NtKC2jPale_VBTg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=B8j027bDjc5SxIllQxqAow,"if you are looking for some good a** wings?! . this is the go to spot. I actually stumbled across them on Uber eats, didn't trust it at first. But I must...",5,2022-11-01 19:56:11,"{'id': 'CNkkBtBn8P_K6nbiU8KyRQ', 'profile_url': 'https://www.yelp.com/user_details?userid=CNkkBtBn8P_K6nbiU8KyRQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/FvVKjjlVF3joivV5R8dFqw/o.jpg', 'name': 'Bob J.'}"
2,adQooWmMiYG3GSgTMvmObg,https://www.yelp.com/biz/wing-city-garland-4?adjust_creative=B8j027bDjc5SxIllQxqAow&hrid=adQooWmMiYG3GSgTMvmObg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=B8j027bDjc5SxIllQxqAow,"This was a great find at the last minute and since I discovered it on Yelp I thought it only fit to review it also 

I got the chicken chunk combo (think of...",5,2022-10-22 18:28:03,"{'id': 'WzDrSPhj6ZGc_GSoSgI6og', 'profile_url': 'https://www.yelp.com/user_details?userid=WzDrSPhj6ZGc_GSoSgI6og', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/rCvOgrbvciNhKXi6v7_GXA/o.jpg', 'name': 'Kiera A.'}"
